transcript	transcript_Chr	transcript_start	transcript_end	WormBaseGeneID	GeneName	biotype	narrow_h2	mapping	eQTL_Thresholds	eQTL_Chr	eQTL_peak	log10p	var_exp	HyperDivergent	eQTL_start	eQTL_end	eQTL_classification	cM	deQTL_count	Merged_hotspots_cM	Hotspot	Hotspot_threshold	merged_Hotspot_QTL_count
F14D2.1.1	II	3359139	3361417	WBGene00017450	bath-27	mRNA	0.804496253020702	LOCO	5.81	II	3637867	14.3471466514718	0.297770057755332	No	532497	12736104	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.1.2	II	3360201	3361451	WBGene00017450	bath-27	mRNA	0.88643857727731	LOCO	5.81	II	3362272	15.4716297236698	0.703460585636961	Yes	2587560	11957801	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.2.1	II	3359134	3359927	WBGene00017451	lido-14	mRNA	0.688128906233881	LOCO	5.81	II	3362272	17.752024280004	0.726023206677089	Yes	2207835	11849208	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.1	II	1927879	1928734	WBGene00018658	bath-22	pseudogenic_transcript	0.461131979226311	LOCO	5.81	I	8251027	7.00475365105426	0.187705369733887	No	2585688	15064788	Distant eQTL	25	2	NotAvailable	No	8	NotAvailable
F52C6.1	II	1927879	1928734	WBGene00018658	bath-22	pseudogenic_transcript	0.461131979226311	LOCO	5.81	II	2072394	6.56332223215681	0.275549433764822	Yes	7733	2829642	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.4.1	II	1923137	1924001	WBGene00018661	F52C6.4	mRNA	0.376260515351405	LOCO	5.81	II	2476785	5.91996186824699	0.178804667773945	Yes	7733	2864872	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.4.2	II	1923137	1924000	WBGene00018661	F52C6.4	mRNA	0.471712799431513	LOCO	5.81	II	2072394	9.17421049930716	0.405300570193938	Yes	7733	3169226	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.7	II	1913605	1916376	WBGene00018664	bath-11	pseudogenic_transcript	0.605323678919945	LOCO	5.81	I	7652237	6.51421754949641	0.205177193767242	No	3241093	11422128	Distant eQTL	24.5	3	NotAvailable	No	8	NotAvailable
F52C6.7	II	1913605	1916376	WBGene00018664	bath-11	pseudogenic_transcript	0.605323678919945	LOCO	5.81	II	2072394	12.3111718839842	0.483434007246928	Yes	7733	3169226	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.8.1	II	1916713	1917962	WBGene00018665	bath-4	mRNA	0.997071533203492	LOCO	5.81	II	2072394	13.3947919535326	0.590267697747902	Yes	7733	2864872	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.8.1	II	1916713	1917962	WBGene00018665	bath-4	mRNA	0.997071533203492	LOCO	5.81	IV	12834009	6.38873884024376	0.316888273008997	No	9120192	13516952	Distant eQTL	34	16	34	Yes	8	16
F52C6.9	II	1918319	1919439	WBGene00018666	bath-6	pseudogenic_transcript	0.935460860859619	LOCO	5.81	I	1673864	6.41412660484339	0.23596684374422	No	1038911	2093294	Distant eQTL	8.5	10	8.5	Yes	8	10
F52C6.9	II	1918319	1919439	WBGene00018666	bath-6	pseudogenic_transcript	0.935460860859619	LOCO	5.81	II	2072394	13.3581096422711	0.608262379525319	Yes	7733	2864872	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F52C6.9	II	1918319	1919439	WBGene00018666	bath-6	pseudogenic_transcript	0.935460860859619	LOCO	5.81	IV	12834009	6.34439965241104	0.241061251355514	No	9120192	13516952	Distant eQTL	34	16	34	Yes	8	16
F14D2.12.1	II	3345218	3346378	WBGene00017460	bath-30	mRNA	0.921147973221425	LOCO	5.81	II	3310099	9.84323284758513	0.512500469580177	Yes	2332368	4579779	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.12.1	II	3345218	3346378	WBGene00017460	bath-30	mRNA	0.921147973221425	LOCO	5.81	IV	14998952	5.881097366127	0.348847033624467	No	14756705	15167141	Distant eQTL	40.5	20	39.5_40_40.5	Yes	8	37
F14D2.13a.1	II	3343741	3344967	WBGene00017461	bath-28	mRNA	1	LOCO	5.81	II	3248671	19.3553251240835	0.980146768485091	Yes	4512	12554995	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.14.1	II	3346745	3347990	WBGene00017462	F14D2.14	mRNA	1	LOCO	5.81	II	3310114	21.7273787570667	0.849459828516263	Yes	1506026	12026780	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.4a.1	II	3350252	3358981	WBGene00017452	bath-29	mRNA	0.933870709649168	LOCO	5.81	II	3384422	19.8606310370347	0.83750317682269	Yes	1611627	12026780	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.4a.2	II	3348560	3358983	WBGene00017452	bath-29	mRNA	0.666754006773445	LOCO	5.81	II	3384422	13.2529076208841	0.606329933032175	Yes	1605819	10891307	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.4b.1	II	3350259	3351859	WBGene00017452	bath-29	mRNA	0.887382567003604	LOCO	5.81	II	3375462	15.841679733032	0.612767956375138	No	880894	6771749	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F14D2.8.1	II	3347574	3349870	WBGene00017456	F14D2.8	mRNA	1	LOCO	5.81	II	3310114	13.1475370856955	0.519013516663087	Yes	1533570	11391035	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
Y16E11A.4.1	II	1987279	1988993	WBGene00305158	Y16E11A.4	mRNA	0.639149583497597	LOCO	5.81	II	1245446	10.2792785458175	0.368744081341656	No	6368	2776968	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F59H6.3	II	2017450	2018292	WBGene00019134	F59H6.3	pseudogenic_transcript	0.783331475313511	LOCO	5.81	II	2066827	20.672745308799	0.828029610823762	Yes	7028	6121342	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F59H6.8.1	II	2014902	2026625	WBGene00019138	bath-21	mRNA	0.486778447525442	LOCO	5.81	II	2066827	10.3615267173891	0.433234472431979	Yes	7028	3087959	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F59H6.9.1	II	2027612	2028812	WBGene00019139	bath-1	mRNA	0.822514812400931	LOCO	5.81	II	2066827	18.8797980104165	0.733404542111758	Yes	7028	3138991	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F59H6.1.1	II	2035695	2039388	WBGene00019132	bath-19	mRNA	0.965994679588105	LOCO	5.81	II	2063402	21.3555742130525	0.846461048173825	Yes	7028	6084743	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
F59H6.12.1	II	2032316	2033243	WBGene00019142	btb-4	mRNA	0.948375708244693	LOCO	5.81	II	1604425	16.7841985827687	0.60721394694096	Yes	7028	2995307	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
Y102A5C.35	V	16924985	16926125	WBGene00044220	Y102A5C.35	pseudogenic_transcript	0.124747823234103	LOCO	5.81	II	7472011	6.52152008336419	0.20278331171602	No	6646560	8129275	Distant eQTL	19	20	19_19.5	Yes	8	33
Y102A5C.35	V	16924985	16926125	WBGene00044220	Y102A5C.35	pseudogenic_transcript	0.124747823234103	LOCO	5.81	III	918401	8.00730601084385	0.265686513961244	No	583799	1298987	Distant eQTL	2.5	1	NotAvailable	No	8	NotAvailable
Y102A5C.36.1	V	16926922	16927445	WBGene00044213	Y102A5C.36	mRNA	0.51899209926261	LOCO	5.81	V	16601948	11.5322291569615	0.475984540582825	Yes	4344258	19560171	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
Y102A5C.5	V	16928328	16928999	WBGene00014954	Y102A5C.5	pseudogenic_transcript	0.480722506352351	LOCO	5.81	V	16601948	12.5581101430431	0.495387150760175	Yes	4827232	20199618	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
Y102A5C.6	V	16929167	16930063	WBGene00014955	Y102A5C.6	pseudogenic_transcript	0.45764328788467	LOCO	5.81	V	16736228	12.3925310366924	0.489051102187716	Yes	4827232	20199618	Local eQTL	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable	NotAvailable
