CHROM	marker	POS	strain	value	allele	mapping	transcript	GeneName	top_marker	top_marker_allele	fine_4464670
I	I:4696683	4696683	AB1	1.10185898060293	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	BRC20067	0.332445401006529	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	BRC20263	1.40171124295758	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CB4852	1.48250395625955	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CB4855	1.60187496024487	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CB4856	1.40973827747678	ALT	LOCO	C36A4.11.1	C36A4.11	4464670	ALT	Yes
I	I:4696683	4696683	CB4857	1.64539842751168	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CB4858	1.70581428014209	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11254	2.77188799208011	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11262	1.51235778203072	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11264	2.12385415551161	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11271	1.74868348963512	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11276	1.80125055255108	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11285	1.62481007844066	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11292	1.41712523877676	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11307	1.99484185766126	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11314	1.22770042397509	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	CX11315	1.70503100981408	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
I	I:4696683	4696683	DL200	1.49703483698116	REF	LOCO	C36A4.11.1	C36A4.11	4464670	REF	Yes
