seqnames	start	end	strand	type	gene_name	transcript_name	transcript_biotype	exon_id	tx
I	4456765	4456805	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	1	eri-7
I	4455944	4456335	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	2	eri-7
I	4455371	4455444	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	3	eri-7
I	4454891	4454992	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	4	eri-7
I	4454630	4454844	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	5	eri-7
I	4453519	4453701	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	6	eri-7
I	4453300	4453472	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	7	eri-7
I	4452446	4452688	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	8	eri-7
I	4452269	4452401	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	9	eri-7
I	4451508	4451826	-	CDS	WBGene00016566	C41D11.7.1	protein_coding	10	eri-7
I	4457391	4457575	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	1	eri-6[a.1]
I	4457644	4457737	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	2	eri-6[a.1]
I	4457788	4457900	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	3	eri-6[a.1]
I	4457950	4458136	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	4	eri-6[a.1]
I	4458193	4458331	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	5	eri-6[a.1]
I	4458382	4458488	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	6	eri-6[a.1]
I	4458534	4458668	+	CDS	WBGene00016561	C41D11.1a.1	protein_coding	7	eri-6[a.1]
I	4457391	4457575	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	1	eri-6[b.1]
I	4457644	4457737	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	2	eri-6[b.1]
I	4457788	4457900	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	3	eri-6[b.1]
I	4457950	4458136	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	4	eri-6[b.1]
I	4458193	4458331	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	5	eri-6[b.1]
I	4458382	4458488	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	6	eri-6[b.1]
I	4458534	4458649	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	7	eri-6[b.1]
I	4460105	4460174	+	CDS	WBGene00016561	C41D11.1b.1	protein_coding	8	eri-6[b.1]
I	4457391	4457575	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	1	eri-6[b.2]
I	4457644	4457737	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	2	eri-6[b.2]
I	4457788	4457900	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	3	eri-6[b.2]
I	4457950	4458136	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	4	eri-6[b.2]
I	4458193	4458331	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	5	eri-6[b.2]
I	4458382	4458488	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	6	eri-6[b.2]
I	4458534	4458649	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	7	eri-6[b.2]
I	4460105	4460174	+	CDS	WBGene00016561	C41D11.1b.2	protein_coding	8	eri-6[b.2]
I	4457391	4457575	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	1	eri-6[c.1]
I	4457644	4457737	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	2	eri-6[c.1]
I	4457788	4457900	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	3	eri-6[c.1]
I	4457950	4458136	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	4	eri-6[c.1]
I	4458193	4458331	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	5	eri-6[c.1]
I	4458382	4458488	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	6	eri-6[c.1]
I	4458534	4458649	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	7	eri-6[c.1]
I	4463457	4463553	+	CDS	WBGene00016561	C41D11.1c.1	protein_coding	8	eri-6[c.1]
I	4457391	4457575	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	1	eri-6[d.1]
I	4457644	4457737	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	2	eri-6[d.1]
I	4457788	4457900	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	3	eri-6[d.1]
I	4457950	4458136	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	4	eri-6[d.1]
I	4458193	4458331	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	5	eri-6[d.1]
I	4458382	4458488	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	6	eri-6[d.1]
I	4458534	4458649	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	7	eri-6[d.1]
I	4469142	4469190	+	CDS	WBGene00016561	C41D11.1d.1	protein_coding	8	eri-6[d.1]
I	4463854	4464115	+	CDS	WBGene00016561	C41D11.1e.1	protein_coding	1	eri-6[e.1]
I	4464158	4464959	+	CDS	WBGene00016561	C41D11.1e.1	protein_coding	2	eri-6[e.1]
I	4465738	4465753	+	CDS	WBGene00016561	C41D11.1e.1	protein_coding	3	eri-6[e.1]
I	4465822	4465906	+	CDS	WBGene00016561	C41D11.1f.1	protein_coding	1	eri-6[f.1]
I	4465951	4466008	+	CDS	WBGene00016561	C41D11.1f.1	protein_coding	2	eri-6[f.1]
I	4466215	4466644	+	CDS	WBGene00016561	C41D11.1f.1	protein_coding	3	eri-6[f.1]
I	4460149	4462704	-	CDS	WBGene00016565	C41D11.6.1	protein_coding	1	sosi-1
I	4468119	4468199	+	CDS	WBGene00271778	T01A4.9.1	protein_coding	1	T01A4.9.1
I	4469142	4469333	+	CDS	WBGene00271778	T01A4.9.1	protein_coding	2	T01A4.9.1
